#-----------------------------------------------------
#           Re:sim Traffic Signal Data File
#-----------------------------------------------------

#-----------------------------------------------------
# Type ; id , (vehicle or pedestrian) 
#-----------------------------------------------------
Type  ; 0 , vehicle
Control ; 4 , 0 , 2 , -1 , -1
Control ; 5 , 0 , 2 , -1 , -1
Control ; 6 , 0 , 3 , -1 , -1
Control ; 7 , 0 , 3 , -1 , -1
Control ; 8 , 21 , 0 , -1 , -1
Control ; 9 , 21 , 0 , -1 , -1
Control ; 10 , 21 , 1 , -1 , -1
Control ; 11 , 21 , 1 , -1 , -1
Control ; 12 , 21 , 2 , -1 , -1
Control ; 13 , 21 , 2 , -1 , -1
Control ; 14 , 21 , 3 , -1 , -1
Control ; 15 , 21 , 3 , -1 , -1
Control ; 16 , 40 , 0 , -1 , -1
Control ; 17 , 40 , 0 , -1 , -1
Control ; 18 , 40 , 1 , -1 , -1
Control ; 19 , 40 , 1 , -1 , -1
Control ; 20 , 40 , 2 , -1 , -1
Control ; 21 , 40 , 2 , -1 , -1
Control ; 22 , 40 , 3 , -1 , -1
Control ; 23 , 40 , 3 , -1 , -1
Control ; 24 , 44 , 0 , -1 , -1
Control ; 25 , 44 , 0 , -1 , -1
Control ; 26 , 44 , 1 , -1 , -1
Control ; 27 , 44 , 1 , -1 , -1
Control ; 28 , 44 , 2 , -1 , -1
Control ; 29 , 44 , 2 , -1 , -1
Control ; 30 , 44 , 3 , -1 , -1
Control ; 31 , 44 , 3 , -1 , -1
Control ; 32 , 61 , 0 , -1 , -1
Control ; 33 , 61 , 0 , -1 , -1
Control ; 34 , 61 , 1 , -1 , -1
Control ; 35 , 61 , 1 , -1 , -1
Control ; 36 , 61 , 2 , -1 , -1
Control ; 37 , 61 , 2 , -1 , -1
Control ; 38 , 61 , 3 , -1 , -1
Control ; 39 , 61 , 3 , -1 , -1
Control ; 40 , 75 , 0 , -1 , -1
Control ; 41 , 75 , 0 , -1 , -1
Control ; 42 , 75 , 1 , -1 , -1
Control ; 43 , 75 , 1 , -1 , -1
Control ; 44 , 75 , 2 , -1 , -1
Control ; 45 , 75 , 2 , -1 , -1
Control ; 46 , 75 , 3 , -1 , -1
Control ; 47 , 75 , 3 , -1 , -1

#-----------------------------------------------------
# Display ; id , startOffset[s]
#                 (signal / duration) * nPattern 
#-----------------------------------------------------
Display ; 0 , 0 , 1 / 55 , 2 / 3 , 4 / 62
Display ; 1 , 60 , 1 / 45 , 2 / 3 , 4 / 72
Display ; 2 , 60 , 1 / 55 , 2 / 3 , 4 / 62
Display ; 3 , 0 , 1 / 45 , 2 / 3 , 4 / 72
Display ; 4 , 0 , 1 / 55 , 2 / 3 , 4 / 62
Display ; 5 , 60 , 1 / 45 , 2 / 3 , 4 / 72
Display ; 6 , 60 , 1 / 55 , 2 / 3 , 4 / 62
Display ; 7 , 0 , 1 / 45 , 2 / 3 , 4 / 72
Display ; 8 , 0 , 1 / 55 , 2 / 3 , 4 / 62
Display ; 9 , 60 , 1 / 45 , 2 / 3 , 4 / 72
Display ; 10 , 60 , 1 / 55 , 2 / 3 , 4 / 62
Display ; 11 , 0 , 1 / 45 , 2 / 3 , 4 / 72
Display ; 12 , 0 , 1 / 55 , 2 / 3 , 4 / 62
Display ; 13 , 60 , 1 / 45 , 2 / 3 , 4 / 72
Display ; 14 , 60 , 1 / 55 , 2 / 3 , 4 / 62
Display ; 15 , 0 , 1 / 45 , 2 / 3 , 4 / 72
Display ; 16 , 0 , 1 / 55 , 2 / 3 , 4 / 62
Display ; 17 , 60 , 1 / 45 , 2 / 3 , 4 / 72
Display ; 18 , 60 , 1 / 55 , 2 / 3 , 4 / 62
Display ; 19 , 0 , 1 / 45 , 2 / 3 , 4 / 72
Display ; 20 , 0 , 1 / 55 , 2 / 3 , 4 / 62
Display ; 21 , 60 , 1 / 45 , 2 / 3 , 4 / 72
Display ; 22 , 60 , 1 / 55 , 2 / 3 , 4 / 62
Display ; 23 , 0 , 1 / 45 , 2 / 3 , 4 / 72
Display ; 24 , 0 , 1 / 55 , 2 / 3 , 4 / 62
Display ; 25 , 60 , 1 / 45 , 2 / 3 , 4 / 72
Display ; 26 , 60 , 1 / 55 , 2 / 3 , 4 / 62
Display ; 27 , 0 , 1 / 45 , 2 / 3 , 4 / 72
Display ; 28 , 0 , 1 / 55 , 2 / 3 , 4 / 62
Display ; 29 , 60 , 1 / 45 , 2 / 3 , 4 / 72
Display ; 30 , 60 , 1 / 55 , 2 / 3 , 4 / 62
Display ; 31 , 0 , 1 / 45 , 2 / 3 , 4 / 72
Display ; 32 , 0 , 1 / 55 , 2 / 3 , 4 / 62
Display ; 33 , 60 , 1 / 45 , 2 / 3 , 4 / 72
Display ; 34 , 60 , 1 / 55 , 2 / 3 , 4 / 62
Display ; 35 , 0 , 1 / 45 , 2 / 3 , 4 / 72
Display ; 36 , 0 , 1 / 55 , 2 / 3 , 4 / 62
Display ; 37 , 60 , 1 / 45 , 2 / 3 , 4 / 72
Display ; 38 , 60 , 1 / 55 , 2 / 3 , 4 / 62
Display ; 39 , 0 , 1 / 45 , 2 / 3 , 4 / 72
Display ; 40 , 0 , 1 / 55 , 2 / 3 , 4 / 62
Display ; 41 , 60 , 1 / 45 , 2 / 3 , 4 / 72
Display ; 42 , 60 , 1 / 55 , 2 / 3 , 4 / 62
Display ; 43 , 0 , 1 / 45 , 2 / 3 , 4 / 72
Display ; 44 , 0 , 1 / 55 , 2 / 3 , 4 / 62
Display ; 45 , 60 , 1 / 45 , 2 / 3 , 4 / 72
Display ; 46 , 60 , 1 / 55 , 2 / 3 , 4 / 62
Display ; 47 , 0 , 1 / 45 , 2 / 3 , 4 / 72

