#-----------------------------------------------------
#              Re:sim Road Data File
#-----------------------------------------------------

Left-Hand Or Right-Hand ; LEFT
WayPoint ; 44 , -13.0369 , -222.798 , 0 , 2.22397e-08
WayPoint ; 45 , -37.4249 , -223.084 , 0 , 4.44794e-08
WayPoint ; 46 , 70.5899 , -221.215 , 0 , 0
WayPoint ; 47 , 20.1284 , -225.353 , 0 , -3.14136
WayPoint ; 48 , 53.6379 , -228.168 , 0 , -3.14136
WayPoint ; 49 , 70.7213 , -227.977 , 0 , -3.14136
WayPoint ; 50 , -26.9028 , -189.688 , 0 , 1.57068
WayPoint ; 51 , -23.4119 , -189.688 , 0 , -1.57068
WayPoint ; 52 , -22.9524 , -102.235 , 0 , -1.5653
WayPoint ; 53 , -30.5562 , -110.083 , 0 , -3.13645
WayPoint ; 54 , -22.9145 , -115.406 , 0 , -1.56577
WayPoint ; 55 , -30.5178 , -107.543 , 0 , 0.00537679
WayPoint ; 56 , -26.3237 , -102.177 , 0 , 1.57606
WayPoint ; 57 , -26.5248 , -115.205 , 0 , 1.57606
WayPoint ; 58 , -26.2898 , -63.7993 , 0 , 1.57606
WayPoint ; 59 , -23.2531 , -63.8326 , 0 , -1.5653
WayPoint ; 60 , -71.5602 , -110.293 , 0 , -3.13645
WayPoint ; 61 , -71.5822 , -107.923 , 0 , 0.00537679
WayPoint ; 62 , -23.0531 , -153.88 , 0 , -1.56577
WayPoint ; 63 , -26.7589 , -153.917 , 0 , 1.57606
WayPoint ; 64 , -23.3531 , 39.5279 , 0 , -1.56225
WayPoint ; 65 , -32.9848 , 32.1642 , 0 , -3.1334
WayPoint ; 66 , -23.4698 , 26.0941 , 0 , -1.56272
WayPoint ; 67 , -31.5496 , 35.3204 , 0 , 0.00842631
WayPoint ; 68 , -26.5092 , 40.1025 , 0 , 1.57911
WayPoint ; 69 , -26.2914 , 24.3752 , 0 , 1.57911
WayPoint ; 70 , -26.7377 , 78.9815 , 0 , 1.57911
WayPoint ; 71 , -23.725 , 78.9519 , 0 , -1.56225
WayPoint ; 72 , -69.906 , 32.0759 , 0 , -3.1334
WayPoint ; 73 , -69.9636 , 35.0359 , 0 , 0.00842631
WayPoint ; 74 , -23.2504 , -10.9928 , 0 , -1.56272
WayPoint ; 75 , -26.3349 , -10.9911 , 0 , 1.57911
WayPoint ; 76 , -171.484 , 25.6135 , 0 , 1.56396
WayPoint ; 77 , -159.546 , 34.63 , 0 , -0.0071861
WayPoint ; 78 , -173.822 , 23.1442 , 0 , 1.56396
WayPoint ; 79 , -173.547 , 46.6619 , 0 , 1.56349
WayPoint ; 80 , -158.149 , 31.0993 , 0 , 3.13464
WayPoint ; 81 , -168.407 , 22.4702 , 0 , -1.57787
WayPoint ; 82 , -168.571 , 46.4105 , 0 , -1.57787
WayPoint ; 83 , -168.721 , -42.4035 , 0 , -1.57787
WayPoint ; 84 , -171.788 , -12.9155 , 0 , 1.56396
WayPoint ; 85 , -174.021 , -43.3287 , 0 , 1.56396
WayPoint ; 86 , -114.941 , 34.6343 , 0 , -0.0071861
WayPoint ; 87 , -114.882 , 31.8318 , 0 , 3.13464
WayPoint ; 88 , -173.491 , 62.8999 , 0 , 1.56349
WayPoint ; 89 , -168.525 , 67.6326 , 0 , -1.57787
WayPoint ; 90 , -155.167 , 148.64 , 0 , -3.14136
WayPoint ; 91 , -173.058 , 169.326 , 0 , 1.57068
WayPoint ; 92 , -152.617 , 145.758 , 0 , -3.14136
WayPoint ; 93 , -188.567 , 145.557 , 0 , 3.14136
WayPoint ; 94 , -152.617 , 143.008 , 0 , -3.14136
WayPoint ; 95 , -188.567 , 142.807 , 0 , 3.14136
WayPoint ; 96 , -152.617 , 140.258 , 0 , -3.14136
WayPoint ; 97 , -188.568 , 140.057 , 0 , 3.14136
WayPoint ; 98 , -168.21 , 128.863 , 0 , -1.57068
WayPoint ; 99 , -169.654 , 161.307 , 0 , -1.57068
WayPoint ; 100 , -166.841 , 167.891 , 0 , -1.57068
WayPoint ; 101 , -152.72 , 153.241 , 0 , 2.22397e-08
WayPoint ; 102 , -152.72 , 156.569 , 0 , 2.22397e-08
WayPoint ; 103 , -152.72 , 159.635 , 0 , 2.22397e-08
WayPoint ; 104 , -182.828 , 150.692 , 0 , 4.44794e-08
WayPoint ; 105 , -187.029 , 153.619 , 0 , 4.44794e-08
WayPoint ; 106 , -187.028 , 156.369 , 0 , 4.44794e-08
WayPoint ; 107 , -187.027 , 159.119 , 0 , 4.44794e-08
WayPoint ; 108 , -170.968 , 136.624 , 0 , 1.57068
WayPoint ; 109 , -173.941 , 128.8 , 0 , 1.57068
WayPoint ; 110 , -67.2701 , 153.288 , 0 , 0
WayPoint ; 111 , -67.2706 , 156.547 , 0 , 0
WayPoint ; 112 , -67.271 , 159.647 , 0 , 0
WayPoint ; 113 , -126.593 , 148.64 , 0 , -3.14136
WayPoint ; 114 , -99.5526 , 146.275 , 0 , -3.14136
WayPoint ; 115 , -174.548 , 326.573 , 0 , 1.57068
WayPoint ; 116 , -169.89 , 210.852 , 0 , -1.57068
WayPoint ; 117 , -168.404 , 236.191 , 0 , -1.57068
WayPoint ; 118 , -167.311 , 210.801 , 0 , -1.56794
WayPoint ; 119 , -169.327 , 326.359 , 0 , -1.57068
WayPoint ; 120 , -372.729 , 145.33 , 0 , 3.14136
WayPoint ; 121 , -365.493 , 142.3 , 0 , 3.14136
WayPoint ; 122 , -365.479 , 139.609 , 0 , 3.14136
WayPoint ; 123 , -215.639 , 150.759 , 0 , 4.44794e-08
WayPoint ; 124 , -236.4 , 153.23 , 0 , 4.44794e-08
WayPoint ; 125 , -358.974 , 152.657 , 0 , 4.44794e-08
WayPoint ; 126 , -359.469 , 156.134 , 0 , 4.44794e-08
WayPoint ; 127 , -359.497 , 158.971 , 0 , 4.44794e-08
WayPoint ; 128 , -168.345 , 93.7495 , 0 , -1.57115
WayPoint ; 129 , -171.163 , 92.4054 , 0 , 1.57068
WayPoint ; 130 , -174.082 , 93.5916 , 0 , 1.57177
WayPoint ; 131 , -39.6981 , 153.548 , 0 , 0.000404407
WayPoint ; 132 , -11.7413 , 153.723 , 0 , -6.06416e-05
WayPoint ; 133 , -39.6986 , 156.884 , 0 , 0.000404407
WayPoint ; 134 , -11.8496 , 157.081 , 0 , -6.06416e-05
WayPoint ; 135 , -39.786 , 160.058 , 0 , 0.000404407
WayPoint ; 136 , -11.9146 , 160.157 , 0 , -6.06416e-05
WayPoint ; 137 , -27.3614 , 132.222 , 0 , 1.57108
WayPoint ; 138 , -38.9003 , 146.731 , 0 , -3.14142
WayPoint ; 139 , -37.4661 , 143.407 , 0 , -3.14142
WayPoint ; 140 , -35.5041 , 140.212 , 0 , -3.14142
WayPoint ; 141 , -11.6893 , 146.78 , 0 , -3.14142
WayPoint ; 142 , -11.6656 , 143.6 , 0 , -3.14142
WayPoint ; 143 , -11.6406 , 140.358 , 0 , -3.14142
WayPoint ; 144 , -23.8307 , 132.395 , 0 , -1.57074
WayPoint ; 145 , -67.4104 , 146.44 , 0 , -3.14142
WayPoint ; 146 , -67.4868 , 143.231 , 0 , -3.14142
WayPoint ; 147 , -67.416 , 140.233 , 0 , -3.14142
WayPoint ; 148 , -23.8606 , 96.1156 , 0 , -1.57074
WayPoint ; 149 , -27.0309 , 96.1418 , 0 , 1.57108
WayPoint ; 150 , 38.073 , 154.038 , 0 , -6.06416e-05
WayPoint ; 151 , 38.1506 , 157.481 , 0 , -6.06416e-05
WayPoint ; 152 , 38.1898 , 160.462 , 0 , -6.06416e-05
WayPoint ; 153 , -426.914 , -230.156 , 0 , -3.14136
WayPoint ; 154 , -439.186 , -218.989 , 0 , 1.57068
WayPoint ; 155 , -429.301 , -233.429 , 0 , -3.14136
WayPoint ; 156 , -447.202 , -230.649 , 0 , 3.10344
WayPoint ; 157 , -436.115 , -239.781 , 0 , -1.65196
WayPoint ; 158 , -434.407 , -219.133 , 0 , -1.57068
WayPoint ; 159 , -426.753 , -226.957 , 0 , 2.22397e-08
WayPoint ; 160 , -447.074 , -226.849 , 0 , -0.0504734
WayPoint ; 161 , -440.229 , -239.131 , 0 , 1.47987
WayPoint ; 162 , -341.017 , -226.167 , 0 , 0
WayPoint ; 163 , -396.59 , -229.976 , 0 , -3.14136
WayPoint ; 164 , -358.878 , -232.834 , 0 , -3.14136
WayPoint ; 165 , -340.801 , -232.457 , 0 , -3.14136
WayPoint ; 166 , -439.679 , -186.676 , 0 , 1.57068
WayPoint ; 167 , -435.185 , -186.031 , 0 , -1.57068
WayPoint ; 168 , -578.773 , -223.066 , 0 , 3.0953
WayPoint ; 169 , -578.684 , -219.318 , 0 , -0.0460618
WayPoint ; 170 , -440.821 , -347.748 , 0 , -1.57115
WayPoint ; 171 , -445.856 , -347.689 , 0 , 1.57068
WayPoint ; 172 , -438.936 , 39.0287 , 0 , -1.56441
WayPoint ; 173 , -448.587 , 31.3429 , 0 , -3.13556
WayPoint ; 174 , -438.767 , 25.6583 , 0 , -1.56488
WayPoint ; 175 , -447.368 , 34.5398 , 0 , 0.00626594
WayPoint ; 176 , -443.182 , 39.398 , 0 , 1.57695
WayPoint ; 177 , -443.12 , 24.4591 , 0 , 1.57695
WayPoint ; 178 , -443.425 , 59.2378 , 0 , 1.57695
WayPoint ; 179 , -439.352 , 59.5905 , 0 , -1.56441
WayPoint ; 180 , -518.099 , 32.1644 , 0 , 3.13492
WayPoint ; 181 , -518.212 , 35.3613 , 0 , -0.0064407
WayPoint ; 182 , -438.047 , -11.049 , 0 , -1.56488
WayPoint ; 183 , -442.478 , -11.1927 , 0 , 1.57695
WayPoint ; 184 , -440.207 , 110.142 , 0 , -1.5702
WayPoint ; 185 , -451.721 , 100.03 , 0 , 3.07684
WayPoint ; 186 , -439.963 , 91.8793 , 0 , -1.57067
WayPoint ; 187 , -451.507 , 102.685 , 0 , -0.0904954
WayPoint ; 188 , -442.957 , 110.141 , 0 , 1.57116
WayPoint ; 189 , -445.707 , 110.14 , 0 , 1.57116
WayPoint ; 190 , -443.609 , 89.203 , 0 , 1.57116
WayPoint ; 191 , -443.037 , 120.254 , 0 , 1.57116
WayPoint ; 192 , -445.819 , 120.271 , 0 , 1.57116
WayPoint ; 193 , -528.795 , 105.647 , 0 , 3.074
WayPoint ; 194 , -528.618 , 108.945 , 0 , -0.0777698
WayPoint ; 195 , -432.82 , 147.601 , 0 , -3.14136
WayPoint ; 196 , -442.609 , 152.397 , 0 , 1.96108
WayPoint ; 197 , -424.47 , 144.906 , 0 , -3.14136
WayPoint ; 198 , -460.937 , 145.239 , 0 , 3.14136
WayPoint ; 199 , -424.622 , 142.199 , 0 , -3.14136
WayPoint ; 200 , -458.032 , 142.211 , 0 , 3.14136
WayPoint ; 201 , -431.255 , 139.351 , 0 , -3.14136
WayPoint ; 202 , -455.829 , 139.265 , 0 , 3.14136
WayPoint ; 203 , -440.363 , 129.668 , 0 , -1.57068
WayPoint ; 204 , -442.82 , 159.882 , 0 , -1.57068
WayPoint ; 205 , -439.817 , 166.79 , 0 , -1.57068
WayPoint ; 206 , -426.464 , 152.565 , 0 , 2.22397e-08
WayPoint ; 207 , -428.039 , 155.806 , 0 , 2.22397e-08
WayPoint ; 208 , -429.765 , 158.909 , 0 , 2.22397e-08
WayPoint ; 209 , -451.737 , 149.984 , 0 , 4.44794e-08
WayPoint ; 210 , -441.451 , 141.123 , 0 , -1.34178
WayPoint ; 211 , -460.551 , 152.771 , 0 , 4.44794e-08
WayPoint ; 212 , -460.621 , 155.767 , 0 , 4.44794e-08
WayPoint ; 213 , -455.415 , 158.633 , 0 , 4.44794e-08
WayPoint ; 214 , -446.787 , 168.061 , 0 , 1.56077
WayPoint ; 215 , -443.149 , 137.532 , 0 , 1.57068
WayPoint ; 216 , -445.839 , 129.604 , 0 , 1.57068
WayPoint ; 217 , -376.987 , 152.655 , 0 , 0
WayPoint ; 218 , -376.958 , 156.058 , 0 , 0
WayPoint ; 219 , -377.021 , 159.016 , 0 , 0
WayPoint ; 220 , -403.985 , 147.472 , 0 , -3.14136
WayPoint ; 221 , -376.987 , 142.32 , 0 , -3.14136
WayPoint ; 222 , -376.878 , 139.456 , 0 , -3.14136
WayPoint ; 223 , -445.354 , 277.573 , 0 , 1.55533
WayPoint ; 224 , -442.428 , 201.098 , 0 , -1.6213
WayPoint ; 225 , -440.77 , 228.593 , 0 , -1.58077
WayPoint ; 226 , -439.724 , 201.425 , 0 , -1.57041
WayPoint ; 227 , -438.529 , 320.528 , 0 , -1.64522
WayPoint ; 228 , -540.185 , 145.488 , 0 , 3.14136
WayPoint ; 229 , -540.218 , 142.558 , 0 , 3.14136
WayPoint ; 230 , -540.218 , 139.58 , 0 , 3.14136
WayPoint ; 231 , -482.858 , 149.962 , 0 , 4.44794e-08
WayPoint ; 232 , -516.918 , 152.285 , 0 , -0.0164346
WayPoint ; 233 , -539.927 , 153.15 , 0 , -0.0430477
WayPoint ; 234 , -539.75 , 156.36 , 0 , -0.0430477
WayPoint ; 235 , -539.602 , 159.455 , 0 , -0.0430477
WayPoint ; 236 , -440.336 , 120.367 , 0 , -1.57115
WayPoint ; 237 , -443.602 , 321.086 , 0 , 1.45798
WayPoint ; 238 , 196.778 , -224.457 , 0 , -3.14136
WayPoint ; 239 , 179.034 , -210.08 , 0 , 1.57068
WayPoint ; 240 , 176.144 , -210.88 , 0 , 1.57068
WayPoint ; 241 , 166.786 , -226.426 , 0 , 3.14136
WayPoint ; 242 , 186.015 , -237.586 , 0 , -1.57068
WayPoint ; 243 , 188.855 , -235.961 , 0 , -1.57068
WayPoint ; 244 , 182.85 , -216.032 , 0 , -1.57068
WayPoint ; 245 , 186.079 , -209.371 , 0 , -1.57068
WayPoint ; 246 , 189.137 , -209.833 , 0 , -1.57068
WayPoint ; 247 , 197.596 , -221.044 , 0 , 2.22397e-08
WayPoint ; 248 , 173.486 , -223.423 , 0 , 4.44794e-08
WayPoint ; 249 , 167.827 , -219.848 , 0 , 4.44794e-08
WayPoint ; 250 , 182.02 , -231.792 , 0 , 1.57068
WayPoint ; 251 , 178.925 , -237.583 , 0 , 1.57068
WayPoint ; 252 , 175.849 , -238.217 , 0 , 1.57068
WayPoint ; 253 , 268.615 , -220.434 , 0 , 0
WayPoint ; 254 , 268.722 , -223.71 , 0 , -3.14136
WayPoint ; 255 , 178.963 , -78.6996 , 0 , 1.57068
WayPoint ; 256 , 175.865 , -78.6659 , 0 , 1.57068
WayPoint ; 257 , 183.141 , -174.448 , 0 , -1.57068
WayPoint ; 258 , 185.546 , -156.333 , 0 , -1.57068
WayPoint ; 259 , 185.552 , -78.9189 , 0 , -1.57068
WayPoint ; 260 , 188.968 , -78.9315 , 0 , -1.57068
WayPoint ; 261 , 119.84 , -226.961 , 0 , -3.12643
WayPoint ; 262 , 131.334 , -223.662 , 0 , 4.44794e-08
WayPoint ; 263 , 101.349 , -220.819 , 0 , 4.44794e-08
WayPoint ; 264 , 185.725 , -343.359 , 0 , -1.57115
WayPoint ; 265 , 188.842 , -343.386 , 0 , -1.57115
WayPoint ; 266 , 181.244 , -308.511 , 0 , 1.57068
WayPoint ; 267 , 178.822 , -329.024 , 0 , 1.57068
WayPoint ; 268 , 178.91 , -343.2 , 0 , 1.57068
WayPoint ; 269 , 175.713 , -343.251 , 0 , 1.57068
WayPoint ; 270 , 345.587 , -223.366 , 0 , -3.14136
WayPoint ; 271 , 338.547 , -215.441 , 0 , 1.57068
WayPoint ; 272 , 333.659 , -223.46 , 0 , 3.14136
WayPoint ; 273 , 340.963 , -215.418 , 0 , -1.57068
WayPoint ; 274 , 345.635 , -219.588 , 0 , 2.22397e-08
WayPoint ; 275 , 333.659 , -219.85 , 0 , 4.44794e-08
WayPoint ; 276 , 384.635 , -218.956 , 0 , 0
WayPoint ; 277 , 384.691 , -222.572 , 0 , -3.14136
WayPoint ; 278 , 338.572 , -176.561 , 0 , 1.57068
WayPoint ; 279 , 341.039 , -176.561 , 0 , -1.57068
WayPoint ; 280 , 317.759 , -223.526 , 0 , 3.14136
WayPoint ; 281 , 317.759 , -219.916 , 0 , 4.44794e-08
WayPoint ; 282 , 338.579 , 28.4942 , 0 , 1.57181
WayPoint ; 283 , 345.787 , 35.8742 , 0 , 0.000660036
WayPoint ; 284 , 338.496 , 40.4944 , 0 , 1.57134
WayPoint ; 285 , 345.789 , 32.835 , 0 , -3.1407
WayPoint ; 286 , 341.167 , 28.4963 , 0 , -1.57002
WayPoint ; 287 , 341.159 , 40.496 , 0 , -1.57002
WayPoint ; 288 , 341.198 , -10.5037 , 0 , -1.57002
WayPoint ; 289 , 338.6 , -10.5275 , 0 , 1.57181
WayPoint ; 290 , 384.787 , 35.8999 , 0 , 0.000660036
WayPoint ; 291 , 384.788 , 32.7451 , 0 , -3.1407
WayPoint ; 292 , 338.388 , 79.4943 , 0 , 1.57134
WayPoint ; 293 , 341.138 , 79.4959 , 0 , -1.57002
WayPoint ; 294 , 448.92 , -222.169 , 0 , 3.1116
WayPoint ; 295 , 434.288 , -210.636 , 0 , 1.57068
WayPoint ; 296 , 426.006 , -222.55 , 0 , 3.14136
WayPoint ; 297 , 438.472 , -231.262 , 0 , -1.57068
WayPoint ; 298 , 438.854 , -211.162 , 0 , -1.57068
WayPoint ; 299 , 447.672 , -218.448 , 0 , -0.0272906
WayPoint ; 300 , 426.269 , -218.438 , 0 , 4.44794e-08
WayPoint ; 301 , 434.166 , -230.999 , 0 , 1.57068
WayPoint ; 302 , 501.539 , -221.186 , 0 , -0.0508667
WayPoint ; 303 , 501.341 , -225.032 , 0 , 3.10419
WayPoint ; 304 , 434.345 , -176.352 , 0 , 1.57068
WayPoint ; 305 , 438.746 , -176.225 , 0 , -1.57068
WayPoint ; 306 , 421.046 , -222.609 , 0 , 3.14136
WayPoint ; 307 , 420.967 , -218.516 , 0 , 4.44794e-08
WayPoint ; 308 , 437.927 , -290.774 , 0 , -1.57115
WayPoint ; 309 , 434.02 , -290.773 , 0 , 1.57068
WayPoint ; 310 , 199.691 , 150.131 , 0 , -3.14136
WayPoint ; 311 , 178.472 , 176.906 , 0 , 1.57068
WayPoint ; 312 , 175.525 , 180.84 , 0 , 1.57068
WayPoint ; 313 , 199.691 , 147.381 , 0 , -3.14136
WayPoint ; 314 , 167.125 , 146.979 , 0 , 3.14136
WayPoint ; 315 , 199.691 , 144.631 , 0 , -3.14136
WayPoint ; 316 , 164.308 , 144.597 , 0 , 3.14136
WayPoint ; 317 , 223.938 , 140.971 , 0 , -3.14136
WayPoint ; 318 , 192.731 , 113.722 , 0 , -1.57068
WayPoint ; 319 , 183.023 , 167.921 , 0 , -1.57068
WayPoint ; 320 , 186.123 , 167.99 , 0 , -1.57068
WayPoint ; 321 , 186.263 , 133.565 , 0 , -1.57068
WayPoint ; 322 , 189.328 , 167.5 , 0 , -1.57068
WayPoint ; 323 , 189.468 , 133.741 , 0 , -1.57068
WayPoint ; 324 , 192.614 , 192.353 , 0 , -1.57068
WayPoint ; 325 , 221.174 , 161.599 , 0 , 2.22397e-08
WayPoint ; 326 , 164.55 , 151.821 , 0 , 4.44794e-08
WayPoint ; 327 , 164.455 , 154.73 , 0 , 4.44794e-08
WayPoint ; 328 , 197.242 , 154.566 , 0 , 2.22397e-08
WayPoint ; 329 , 164.526 , 158.224 , 0 , 4.44794e-08
WayPoint ; 330 , 200.932 , 157.953 , 0 , 2.22397e-08
WayPoint ; 331 , 147.294 , 161.569 , 0 , 0.0139215
WayPoint ; 332 , 172.04 , 192.863 , 0 , 1.57068
WayPoint ; 333 , 181.452 , 133.434 , 0 , 1.57068
WayPoint ; 334 , 178.562 , 133.342 , 0 , 1.57068
WayPoint ; 335 , 175.3 , 133.25 , 0 , 1.57068
WayPoint ; 336 , 171.619 , 114.111 , 0 , 1.57068
WayPoint ; 337 , 146.847 , 140.862 , 0 , 3.14136
WayPoint ; 338 , 299.52 , 154.091 , 0 , 0
WayPoint ; 339 , 299.334 , 157.54 , 0 , 0
WayPoint ; 340 , 299.241 , 161.082 , 0 , 0
WayPoint ; 341 , 269.721 , 150.037 , 0 , -3.14136
WayPoint ; 342 , 271.532 , 147.241 , 0 , -3.14136
WayPoint ; 343 , 271.532 , 144.398 , 0 , -3.14136
WayPoint ; 344 , 271.532 , 141.322 , 0 , -3.14136
WayPoint ; 345 , 178.553 , 238.835 , 0 , 1.56828
WayPoint ; 346 , 175.124 , 221.316 , 0 , 1.56461
WayPoint ; 347 , 172.115 , 218.54 , 0 , 1.55286
WayPoint ; 348 , 183.148 , 212.409 , 0 , -1.57068
WayPoint ; 349 , 185.897 , 249.509 , 0 , -1.57068
WayPoint ; 350 , 185.901 , 314.974 , 0 , -1.57068
WayPoint ; 351 , 188.931 , 314.955 , 0 , -1.57068
WayPoint ; 352 , 189.128 , 250.384 , 0 , -1.56681
WayPoint ; 353 , 192.489 , 222.21 , 0 , -1.56352
WayPoint ; 354 , 38.0717 , 147.23 , 0 , 3.14136
WayPoint ; 355 , 38.0711 , 143.902 , 0 , 3.14136
WayPoint ; 356 , 38.0961 , 140.854 , 0 , 3.14136
WayPoint ; 357 , 110.16 , 151.776 , 0 , 4.44794e-08
WayPoint ; 358 , 75.2146 , 154.174 , 0 , 4.44794e-08
WayPoint ; 359 , 186.002 , 71.6049 , 0 , -1.57115
WayPoint ; 360 , 189.01 , 62.5882 , 0 , -1.58203
WayPoint ; 361 , 192.4 , 77.8246 , 0 , -1.57115
WayPoint ; 362 , 181.237 , 80.1849 , 0 , 1.57068
WayPoint ; 363 , 178.906 , 62.7695 , 0 , 1.57068
WayPoint ; 364 , 178.71 , 46.2236 , 0 , 1.57068
WayPoint ; 365 , 175.637 , 37.3738 , 0 , 1.57068
WayPoint ; 366 , 175.563 , 55.0078 , 0 , 1.5769
WayPoint ; 367 , 172.42 , 75.9633 , 0 , 1.57068
WayPoint ; 368 , 175.636 , 249.566 , 0 , 1.54445
WayPoint ; 369 , 180.87 , 267.712 , 0 , 1.57297
WayPoint ; 370 , 178.444 , 291.48 , 0 , 1.54625
WayPoint ; 371 , 178.405 , 315.587 , 0 , 1.57068
WayPoint ; 372 , 175.818 , 315.221 , 0 , 1.57068
WayPoint ; 373 , 180.918 , 315.598 , 0 , 1.57068
WayPoint ; 374 , 189.181 , 206.587 , 0 , -1.56467
WayPoint ; 375 , 188.564 , 41.9298 , 0 , -1.57115
WayPoint ; 376 , 185.433 , 49.3149 , 0 , -1.57549
WayPoint ; 377 , 322.17 , 154.745 , 0 , 0.00305811
WayPoint ; 378 , 356.396 , 154.868 , 0 , 0.00259295
WayPoint ; 379 , 322.267 , 158.02 , 0 , 0.00305811
WayPoint ; 380 , 356.452 , 158.318 , 0 , 0.00259295
WayPoint ; 381 , 322.364 , 161.4 , 0 , 0.00305811
WayPoint ; 382 , 356.349 , 161.768 , 0 , 0.00259295
WayPoint ; 383 , 338.822 , 135.697 , 0 , 1.57374
WayPoint ; 384 , 322.69 , 150.223 , 0 , -3.13877
WayPoint ; 385 , 325.948 , 147.572 , 0 , -3.13877
WayPoint ; 386 , 329.146 , 144.459 , 0 , -3.13877
WayPoint ; 387 , 332.714 , 141.636 , 0 , -3.13877
WayPoint ; 388 , 355.862 , 150.273 , 0 , -3.13877
WayPoint ; 389 , 356.028 , 147.682 , 0 , -3.13877
WayPoint ; 390 , 356.194 , 144.837 , 0 , -3.13877
WayPoint ; 391 , 347.391 , 141.705 , 0 , -3.13877
WayPoint ; 392 , 341.636 , 136.723 , 0 , -1.56809
WayPoint ; 393 , 341.453 , 121.912 , 0 , -1.56809
WayPoint ; 394 , 338.664 , 121.982 , 0 , 1.57374
WayPoint ; 395 , 368.082 , 155.026 , 0 , 0.00259295
WayPoint ; 396 , 368.445 , 158.31 , 0 , 0.00259295
WayPoint ; 397 , 368.342 , 161.76 , 0 , 0.00259295
WayPoint ; 398 , 367.855 , 150.266 , 0 , -3.13877
WayPoint ; 399 , 367.878 , 147.555 , 0 , -3.13877
WayPoint ; 400 , 367.852 , 144.782 , 0 , -3.13877
WayPoint ; 401 , 367.972 , 141.666 , 0 , -3.13877
WayPoint ; 402 , 443.08 , 31.9558 , 0 , -3.14136
WayPoint ; 403 , 433.807 , 41.5937 , 0 , 1.57068
WayPoint ; 404 , 427.979 , 32.4115 , 0 , 3.14136
WayPoint ; 405 , 437.35 , 25.3955 , 0 , -1.57068
WayPoint ; 406 , 437.508 , 41.0489 , 0 , -1.57068
WayPoint ; 407 , 443.298 , 35.5551 , 0 , 2.22397e-08
WayPoint ; 408 , 427.684 , 35.4275 , 0 , 4.44794e-08
WayPoint ; 409 , 433.807 , 25.3366 , 0 , 1.57068
